Súhrnné vısledky hlasovania za okresy;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Kód kraja;Názov kraja;Kód územného obvodu;Názov územného obvodu;Kód okresu;Názov okresu;Poèet okrskov;Poèet zapísanıch volièov;Poèet vydanıch obálok;Úèas volièov v %;Poèet odovzdanıch obálok; Podiel odovzdanıch obálok v %;Poèet platnıch hlasov všetkıch kandidátov; Podiel platnıch hlasov všetkıch kandidátov v %;Poèet zapísanıch volièov 2.kolo;Poèet vydanıch obálok 2.kolo;Úèas volièov v %;Poèet odovzdanıch obálok 2.kolo; Podiel odovzdanıch obálok v % 2.kolo;Poèet platnıch hlasov všetkıch kandidátov 2.kolo; Podiel platnıch hlasov všetkıch kandidátov v %  2.kolo
2;Trnavskı kraj;205;Trnava;207;Trnava;117;107925;59033;54,69;59009;99,95;58698;99,47;107784;51122;47,43;51119;99,99;50116;98,03
3;Trenèiansky kraj;301;Bánovce nad Bebravou;301;Bánovce nad Bebravou;62;30002;16100;53,66;16096;99,97;16019;99,52;29996;13426;44,75;13423;99,97;13162;98,05
3;Trenèiansky kraj;302;Nové Mesto nad Váhom;303;Myjava;30;22278;11398;51,16;11398;100;11323;99,34;22379;10375;46,36;10375;100;10218;98,48
3;Trenèiansky kraj;302;Nové Mesto nad Váhom;304;Nové Mesto nad Váhom;67;51365;27802;54,12;27799;99,98;27610;99,32;51362;24127;46,97;24124;99,98;23553;97,63
3;Trenèiansky kraj;303;Povaská Bystrica;306;Povaská Bystrica;68;51662;27227;52,7;27222;99,98;27040;99,33;51636;22668;43,89;22664;99,98;22189;97,9
3;Trenèiansky kraj;303;Povaská Bystrica;308;Púchov;53;36947;19277;52,17;19271;99,96;19152;99,38;36997;16538;44,7;16533;99,96;16164;97,76
3;Trenèiansky kraj;304;Prievidza;305;Partizánske;52;37648;19383;51,48;19377;99,96;19270;99,44;37590;16009;42,58;16007;99,98;15691;98,02
3;Trenèiansky kraj;304;Prievidza;307;Prievidza;138;112222;59629;53,13;59604;99,95;59211;99,34;111898;50107;44,77;50102;99,99;49102;98
3;Trenèiansky kraj;305;Trenèín;302;Ilava;60;48987;25986;53,04;25973;99,94;25835;99,46;48767;22165;45,45;22160;99,97;21622;97,57
3;Trenèiansky kraj;305;Trenèín;309;Trenèín;115;93833;52720;56,18;52702;99,96;52355;99,34;94329;46861;49,67;46857;99,99;45818;97,78
4;Nitriansky kraj;401;Komárno;401;Komárno;108;84974;23665;27,84;23661;99,98;23465;99,17;84973;20775;24,44;20775;100;20476;98,56
4;Nitriansky kraj;402;Levice;402;Levice;162;92987;41006;44,09;41003;99,99;40764;99,41;92720;34558;37,27;34556;99,99;33956;98,26
4;Nitriansky kraj;403;Nitra;403;Nitra;161;135864;70015;51,53;70002;99,98;69669;99,52;135710;59884;44,12;59881;99,99;58839;98,25
4;Nitriansky kraj;403;Nitra;407;Zlaté Moravce;46;34536;17955;51,98;17951;99,97;17843;99,39;34522;15289;44,28;15289;100;15013;98,19
4;Nitriansky kraj;404;Nové Zámky;404;Nové Zámky;142;117262;47668;40,65;47659;99,98;47395;99,44;117209;41169;35,12;41166;99,99;40541;98,48
4;Nitriansky kraj;405;Ša¾a;405;Ša¾a;43;42856;17624;41,12;17617;99,96;17524;99,47;42851;15438;36,02;15436;99,98;15221;98,6
4;Nitriansky kraj;406;Topo¾èany;406;Topo¾èany;88;59823;29988;50,12;29984;99,98;29815;99,43;59842;25526;42,65;25525;99,99;25105;98,35
5;ilinskı kraj;501;Èadca;502;Èadca;77;72987;33978;46,55;33973;99,98;33756;99,36;72943;28232;38,7;28228;99,98;27683;98,06
5;ilinskı kraj;502;Dolnı Kubín;503;Dolnı Kubín;41;31400;17558;55,91;17550;99,95;17452;99,44;31272;14257;45,59;14255;99,98;13759;96,52
5;ilinskı kraj;503;Liptovskı Mikuláš;505;Liptovskı Mikuláš;96;61172;33067;54,05;33064;99,99;32848;99,34;60745;28479;46,88;28474;99,98;27862;97,85
