Súhrnné vısledky hlasovania za obce;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Kód kraja;Názov kraja;Kód územného obvodu;Názov územného obvodu;Kód okresu;Názov okresu;Kód obce;Názov obce;Poèet okrskov ;Poèet zapísanıch volièov;Poèet vydanıch obálok;"Úèas volièov 
v %";Poèet odovzdanıch obálok;Podiel odovzdanıch obálok v %;Poèet platnıch hlasov všetkıch kandidátov; Podiel platnıch hlasov všetkıch kandidátov v %;Poèet zapísanıch volièov 2.kolo;Poèet vydanıch obálok 2.kolo;"Úèas volièov 
v %  2.kolo";Poèet odovzdanıch obálok 2.kolo;Podiel odovzdanıch obálok v % 2.kolo;Poèet platnıch hlasov všetkıch kandidátov 2.kolo; Podiel platnıch hlasov všetkıch kandidátov v % 2.kolo
1;Bratislavskı kraj;101;Bratislava;104;Bratislava IV;529427;Bratislava - Záhorská Bystrica;4;4338;3001;69,17;2999;99,93;2987;99,59;4358;2834;65,02;2834;100;2800;98,8
1;Bratislavskı kraj;101;Bratislava;105;Bratislava V;529435;Bratislava - Èunovo;2;1212;866;71,45;866;100;863;99,65;1201;826;68,77;826;100;815;98,66
1;Bratislavskı kraj;101;Bratislava;105;Bratislava V;529443;Bratislava - Jarovce;2;2055;1430;69,58;1430;100;1426;99,72;2097;1397;66,61;1397;100;1380;98,78
1;Bratislavskı kraj;101;Bratislava;105;Bratislava V;529460;Bratislava - Petralka;56;94260;53855;57,13;53826;99,94;53648;99,66;94269;50162;53,21;50134;99,94;49417;98,56
1;Bratislavskı kraj;101;Bratislava;105;Bratislava V;529494;Bratislava - Rusovce;3;3371;2230;66,15;2221;99,59;2210;99,5;3375;2148;63,64;2148;100;2125;98,92
1;Bratislavskı kraj;102;Malacky;106;Malacky;507831;Borinka;1;644;412;63,97;412;100;412;100;661;388;58,69;388;100;380;97,93
1;Bratislavskı kraj;102;Malacky;106;Malacky;507890;Gajary;2;2468;1018;41,24;1018;100;1013;99,5;2449;826;33,72;826;100;810;98,06
1;Bratislavskı kraj;102;Malacky;106;Malacky;507954;Jablonové;1;1074;638;59,4;638;100;635;99,52;1080;560;51,85;560;100;553;98,75
1;Bratislavskı kraj;102;Malacky;106;Malacky;507962;Jakubov;1;1326;660;49,77;659;99,84;656;99,54;1331;584;43,87;584;100;578;98,97
1;Bratislavskı kraj;102;Malacky;106;Malacky;508012;Kostolište;1;1223;687;56,17;687;100;682;99,27;1237;600;48,5;600;100;587;97,83
1;Bratislavskı kraj;102;Malacky;106;Malacky;508021;Kuchyòa;1;1444;738;51,1;738;100;731;99,05;1450;624;43,03;624;100;610;97,75
1;Bratislavskı kraj;102;Malacky;106;Malacky;508039;Láb;1;1502;882;58,72;882;100;878;99,54;1498;747;49,86;747;100;731;97,85
1;Bratislavskı kraj;102;Malacky;106;Malacky;508055;Lozorno;2;2556;1275;49,88;1275;100;1266;99,29;2550;1159;45,45;1159;100;1137;98,1
1;Bratislavskı kraj;102;Malacky;106;Malacky;508063;Malacky;12;15201;7764;51,07;7763;99,98;7724;99,49;15211;6691;43,98;6687;99,94;6571;98,26
1;Bratislavskı kraj;102;Malacky;106;Malacky;504556;Malé Leváre;1;1110;445;40,09;445;100;438;98,42;1122;364;32,44;364;100;360;98,9
1;Bratislavskı kraj;102;Malacky;106;Malacky;508080;Marianka;1;1635;1104;67,52;1104;100;1104;100;1755;1056;60,17;1056;100;1043;98,76
1;Bratislavskı kraj;102;Malacky;106;Malacky;508161;Pernek;1;723;393;54,35;393;100;392;99,74;732;323;44,12;323;100;306;94,73
1;Bratislavskı kraj;102;Malacky;106;Malacky;504629;Plavecké Podhradie;1;586;313;53,41;313;100;310;99,04;574;298;51,91;298;100;295;98,99
1;Bratislavskı kraj;102;Malacky;106;Malacky;504637;Plaveckı Mikuláš;1;622;398;63,98;398;100;394;98,99;635;319;50,23;319;100;307;96,23
1;Bratislavskı kraj;102;Malacky;106;Malacky;508195;Plaveckı Štvrtok;2;1979;868;43,86;868;100;864;99,53;1996;803;40,23;803;100;793;98,75
